POSTI_ALUE,HE_VAKIY
00100,17868
00120,7026
00130,1536
00140,7817
00150,9299
00160,4470
00170,7391
00180,13157
00190,792
00200,14921
00210,7697
00220,2918
00230,0
00240,5138
00250,11079
00260,5422
00270,7644
00280,3000
00290,161
00300,5857
00310,896
00320,9726
00330,8864
00340,1654
00350,9315
00360,1875
00370,6672
00380,4356
00390,6214
00400,9450
00410,8693
00420,13869
00430,4884
00440,4513
00500,12618
00510,8978
00520,6973
00530,18663
00540,2132
00550,9368
00560,13187
00570,3824
00580,2721
00590,380
00600,4120
00610,8201
00620,3226
00630,8299
00640,8049
00650,4345
00660,6696
00670,6015
00680,3640
00690,2778
00700,13176
00710,12480
00720,8554
00730,11305
00740,10201
00750,9208
00760,7718
00770,6638
00780,7032
00790,10839
00800,7212
00810,11469
00820,7248
00830,2255
00840,8290
00850,3119
00860,425
00870,4854
00880,723
00890,2056
00900,4135
00910,6231
00920,12149
00930,6794
00940,25817
00950,5629
00960,7234
00970,10633
00980,22601
00990,8006
01200,12029
01230,2964
01260,4791
01280,9472
01300,18450
01340,612
01350,9904
01360,12141
01370,6468
01380,1924
01390,8957
01400,8266
01420,3212
01450,18357
01480,6256
01510,6113
01520,7801
01530,524
01600,16018
01610,4703
01620,11769
01630,2109
01640,3312
01650,4005
01660,2318
01670,2708
01680,2043
01690,4625
01700,4601
01710,5070
01720,67
01730,2452
01740,199
01750,843
01760,2117
01770,0
02100,4332
02110,2730
02120,2814
02130,5983
02140,3689
02150,3895
02160,3194
02170,5679
02180,6786
02200,10728
02210,11186
02230,20397
02240,2084
02260,3709
02270,2279
02280,4435
02290,20
02300,2526
02320,16322
02330,8737
02340,5041
02360,9582
02380,642
02600,10829
02610,6111
02620,8365
02630,3350
02650,10310
02660,6137
02680,2099
02700,9366
02710,6078
02720,3008
02730,4484
02740,3181
02750,6140
02760,14360
02770,10401
02780,9309
02810,1664
02820,1388
02860,683
02920,5244
02940,10140
02970,3685
02980,372
